index,data_source,score
1,waymo_raw data,0.333333333
2,waymo_raw data,0.633333333
3,waymo_raw data,0.266666667
4,waymo_raw data,0.9
5,waymo_raw data,0.883333333
6,waymo_raw data,0.966666667
7,waymo_raw data,0.766666667
8,waymo_raw data,0.233333333
9,waymo_raw data,0.6
10,waymo_raw data,0.883333333
11,waymo_raw data,0.633333333
12,waymo_raw data,0.833333333
13,waymo_raw data,0.966666667
14,waymo_raw data,0.266666667
15,waymo_raw data,0.933333333
16,waymo_raw data,0.933333333
17,waymo_raw data,0.966666667
18,waymo_raw data,0.733333333
19,waymo_raw data,0.733333333
20,waymo_raw data,0.766666667
21,waymo_raw data,0.966666667
22,waymo_raw data,1
23,waymo_raw data,0.333333333
24,waymo_raw data,0.766666667
25,waymo_raw data,0.266666667
26,waymo_raw data,0.766666667
27,waymo_raw data,0.7
28,waymo_raw data,0.733333333
29,waymo_raw data,0.733333333
30,waymo_raw data,0.7
31,waymo_raw data,0.766666667
32,waymo_raw data,0.633333333
33,waymo_raw data,0.833333333
34,waymo_raw data,0.733333333
35,waymo_raw data,0.866666667
36,waymo_raw data,0.933333333
37,waymo_raw data,0.833333333
38,waymo_raw data,0.866666667
39,waymo_raw data,0.233333333
40,waymo_raw data,0.333333333
41,waymo_raw data,0.733333333
42,waymo_raw data,0.833333333
43,waymo_raw data,0.666666667
44,waymo_raw data,0.766666667
45,waymo_raw data,0.966666667
46,waymo_raw data,0.8
47,waymo_raw data,0.766666667
48,waymo_raw data,0.6
49,waymo_raw data,0.833333333
50,waymo_raw data,0.9
51,waymo_raw data,0.933333333
52,waymo_raw data,0.366666667
53,waymo_raw data,0.9
54,waymo_raw data,0.866666667
55,waymo_raw data,0.9
56,waymo_raw data,1
57,waymo_raw data,0.6
58,waymo_raw data,0.966666667
59,waymo_raw data,0.2
60,waymo_raw data,0.8
61,waymo_raw data,0.9
62,waymo_raw data,0.8
63,waymo_raw data,0.266666667
64,waymo_raw data,0.2
65,waymo_raw data,0.8
66,waymo_raw data,0.6
67,waymo_raw data,0.233333333
68,waymo_raw data,0.7
69,waymo_raw data,0.833333333
70,waymo_raw data,0.9
71,waymo_raw data,0.266666667
72,waymo_raw data,0.333333333
73,waymo_raw data,0.9
74,waymo_raw data,0.966666667
75,waymo_raw data,0.266666667
76,waymo_raw data,0.9
77,waymo_raw data,0.933333333
78,waymo_raw data,0.016666667
79,waymo_raw data,0.5
80,waymo_raw data,0.866666667
81,waymo_raw data,0.266666667
82,waymo_raw data,0.993333333
83,waymo_raw data,0.366666667
84,waymo_raw data,0.7
85,waymo_raw data,0.566666667
86,waymo_raw data,0.9
87,waymo_raw data,0.266666667
88,waymo_raw data,0.933333333
89,waymo_raw data,0.6
90,waymo_raw data,0.933333333
91,waymo_raw data,0.933333333
92,waymo_raw data,0.966666667
93,waymo_raw data,0.833333333
94,waymo_raw data,0.866666667
95,waymo_raw data,0.683333333
96,waymo_raw data,0.766666667
97,waymo_raw data,0.866666667
98,waymo_raw data,0.933333333
99,waymo_raw data,0.9
100,waymo_raw data,0.733333333
101,waymo_raw data,0.633333333
102,waymo_raw data,0.266666667
103,waymo_raw data,0.766666667
104,waymo_raw data,0.266666667
105,waymo_raw data,0.9
106,waymo_raw data,0.916666667
107,waymo_raw data,0.866666667
108,waymo_raw data,0.933333333
109,waymo_raw data,0.366666667
110,waymo_raw data,0.766666667
111,waymo_raw data,0.133333333
112,waymo_raw data,0.766666667
113,waymo_raw data,0.933333333
114,waymo_raw data,0.733333333
115,waymo_raw data,0.266666667
116,waymo_raw data,0.733333333
117,waymo_raw data,0.9
118,waymo_raw data,0.933333333
119,waymo_raw data,0.766666667
120,waymo_raw data,0.733333333
121,waymo_raw data,0.966666667
122,waymo_raw data,0.766666667
123,waymo_raw data,0.866666667
124,waymo_raw data,0.9
125,waymo_raw data,0.866666667
